ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
M45,山里,Shanli,"2,877","2,775","5,652",15.0,Point (264142.2214999997522682 2528998.73970000026747584),臺東縣卑南鄉山里路108號,264142.22149999975,2528998.7397000003,22.861909862857523,121.13781647486276
A85,岡山,Gangshan,"976,138","1,017,911","1,994,049",5463.0,Point (178134.60369999910471961 2521445.58589999936521053),高雄市岡山區岡燕路111號,178134.6036999991,2521445.5858999994,22.792221696974384,120.30003724153877
P11,崁頂,Kanding,"64,088","54,033","118,121",324.0,Point (200076.80989999897428788 2490436.63670000061392784),屏東縣崁頂鄉中正路122號,200076.80989999897,2490436.6367000006,22.51298061044076,120.51473043479153
I10,崇德,Chongde,"5,975","5,690","11,665",32.0,Point (316593.47190000105183572 2674223.99029999971389771),花蓮縣秀林鄉海濱路96號,316593.47190000105,2674223.9902999997,24.171965487085348,121.65539963089385
A31,崎頂,Qiding,"115,818","109,800","225,618",618.0,Point (237026.83700000029057264 2735101.78999999910593033),苗栗縣竹南鎮崎頂里北戶55號,237026.8370000003,2735101.789999999,24.722987412791635,120.87176257735705
N03,嶺腳,Lingjiao,"12,386","10,493","22,879",63.0,Point (325485.58899999968707561 2769325.69500000029802322),新北市平溪區嶺腳街22號,325485.5889999997,2769325.6950000003,25.030151587674027,121.7479952688095
A88,左營,Zuoying,"290,010","287,708","577,718",1583.0,Point (177458.68189999967580661 2508411.0821000006981194),高雄市鼓山區翠華路1050號B1,177458.68189999968,2508411.0821000007,22.674486541333753,120.29405867885478
M09,平和,Pinghe,"3,330","4,079","7,409",20.0,Point (302999.93690000078640878 2642135.62230000086128712),花蓮縣壽豐鄉平和路1號,302999.9369000008,2642135.622300001,23.88275037531193,121.52045160810246
N04,平溪,Pingxi,"93,370","95,133","188,503",516.0,Point (324683.12999999988824129 2768813.48100000061094761),新北市平溪區中華街12號,324683.1299999999,2768813.4810000006,25.025567331774386,121.74001640431709
J17,康樂,Kangle,"6,836","6,659","13,495",37.0,Point (259602.84989999938989058 2518183.17549999943003058),臺東縣臺東市博物館路51巷131號,259602.8498999994,2518183.1754999994,22.764267343973007,121.0935134883362
A49,彰化,Changhua,"4,847,635","4,924,230","9,771,865",26772.0,Point (203072.06639999989420176 2664138.00980000011622906),彰化縣彰化市三民路1號,203072.0663999999,2664138.0098,24.081606735041685,120.5384655701358
A68,後壁,Houbi,"219,105","218,456","437,561",1199.0,Point (184623.22950000019045547 2584976.08390000136569142),臺南市後壁區後壁里後壁77號,184623.2295000002,2584976.0839000014,23.3661721735427,120.36052549701547
P02,後庄,Houzhuang,"247,788","245,124","492,912",1350.0,Point (187434.86689999929512851 2504568.95109999971464276),高雄市大寮區民慶街9號,187434.8668999993,2504568.9510999997,22.64018824308416,120.39129114821263
A35,後龍,Houlong,"423,480","405,184","828,664",2270.0,Point (228442.74199999962002039 2723267.43099999986588955),苗栗縣後龍鎮北龍里街127之2號,228442.74199999962,2723267.431,24.6160417582064,120.78709211846609
M08,志學,Zhixue,"130,693","123,805","254,498",697.0,Point (303903.59810000064317137 2644884.97770000109449029),花蓮縣壽豐鄉中正路1號,303903.59810000064,2644884.977700001,23.907544905179037,121.52942618688503
T14,成功,Chenggong,"241,813","418,881","660,694",1810.0,Point (208340.51210000045830384 2667741.03449999820441008),臺中市烏日區中山路三段550號,208340.51210000046,2667741.034499998,24.11428685885402,120.59017594333207
A73,拔林,Balin,"65,199","62,291","127,490",349.0,Point (180520.47449999878881499 2563558.76629999931901693),臺南市官田區拔林里拔子林83之1號,180520.4744999988,2563558.7662999993,23.172609128804172,120.32137726349518
